field,value
case_id,case-712595b3-cd8b-43cd-8650-0be20f329353
case_number,NRA-2026-0401
correlation_id,interop-1774408572706
terminal_state,issued
intake_state_after_domestic_handoff,submitted
foreign_acknowledgement_state,under_foreign_review
foreign_decision_state,approved
exchange_count,6
audit_event_count,8
issued_document_verified,true
total_exchanges,6
simulator_domestic_emulator,3
simulator_foreign_simulator,3
status_generated,3
status_applied,3
message_type_domestic_intake,1
message_type_domestic_status_sync,2
message_type_foreign_forwarding,1
message_type_foreign_acknowledgement,1
message_type_foreign_decision,1
domestic_intake_latency_ms,11137.8433
foreign_simulator_exchange_latency_avg_ms,3105.0512500000004
audit_reconstruction_ms,5.325000000000728
